rxn_id,wrong gpr
13DAMPPOX,XP_020934345_1 or XP_020934344_1 or XP_020934343_1 or XP_020934342_1 or XP_003134601_1 or XP_003131441_2 or XP_020922632_1 or XP_020922633_1 or XP_020922634_1 or 314_AT2 or XP_003131441_2 or XP_020922632_1 or XP_020922633_1 or XP_020934345_1 or XP_020934344_1 or XP_020934343_1 or XP_020934342_1 or XP_020922634_1 or XP_003134601_1
2HBO,(3939_AT1 and 3945_AT1) or NP_001302607_1 or XP_020933349_1 or XP_020947911_1 or XP_013843801_1 or NP_001106758_1 or XP_020937318_1 or XP_020937314_1 or XP_020937310_1 or NP_001165834_1 or XP_013849955_2 or NP_001182704_1 or XP_020933337_1 or XP_020933342_1 or NP_001302607_1 or XP_013849955_2 or XP_020937310_1 or XP_020937318_1 or XP_020937314_1 or NP_001165834_1 or XP_020933337_1 or NP_001182704_1 or XP_013843801_1 or XP_020947911_1 or NP_001106758_1 or XP_020933342_1 or XP_020933349_1 or XP_020937318_1 or XP_020937314_1 or NP_001165834_1 or XP_020947911_1 or NP_001106758_1 or XP_020933349_1 or XP_013843801_1 or XP_020933337_1 or NP_001182704_1 or XP_020933342_1 or XP_013849955_2 or XP_020937310_1 or NP_001302607_1 or XP_020938923_1 or XP_020938921_1 or XP_020938920_1 or XP_013849947_2 or XP_020933342_1 or NP_001182704_1 or XP_020933337_1 or XP_020947911_1 or NP_001106758_1 or XP_013843801_1 or XP_020937318_1 or XP_020937314_1 or NP_001165834_1 or XP_020933337_1 or NP_001182704_1 or XP_020947911_1 or NP_001106758_1 or XP_020933342_1 or XP_020933349_1 or NP_001302607_1 or XP_013849955_2 or XP_020937310_1 or XP_013843801_1 or 3948_AT2 or XP_020933349_1 or XP_020933337_1 or NP_001182704_1 or XP_020933342_1 or XP_020937318_1 or XP_020937314_1 or XP_020937310_1 or NP_001165834_1 or XP_013849955_2 or XP_020947911_1 or NP_001106758_1 or NP_001302607_1 or XP_013843801_1
2HCO3_NAt,NP_001302595_1 or XP_020927125_1 or XP_020927126_1 or XP_013836883_2 or XP_020927121_1 or XP_020927131_1 or XP_020927130_1 or XP_020927127_1 or XP_020956160_1 or XP_020956159_1 or XP_020956158_1 or XP_013844774_2 or XP_020956162_1 or NP_001025704_1 or XP_020956165_1 or XP_020956164_1 or XP_020956163_1 or XP_020956161_1 or XP_020947322_1 or XP_013843728_2 or XP_020947320_1 or XP_013843730_2 or XP_013843727_2 or XP_020947321_1 or XP_013843729_2 or XP_020947319_1 or XP_020927129_1 or XP_020927128_1 or XP_020927124_1 or XP_020927123_1 or XP_020927135_1 or 57835_AT3 or 57835_AT4 or XP_020956162_1 or XP_020956165_1 or XP_020956164_1 or XP_020956163_1 or XP_020956161_1 or NP_001025704_1 or NP_001302595_1 or XP_020931562_1 or XP_020947322_1 or XP_013843728_2 or XP_020947321_1 or XP_020947320_1 or XP_020947319_1 or XP_013843730_2 or XP_013843727_2 or XP_013843729_2 or XP_020927121_1 or XP_013836882_2 or XP_020940539_1 or XP_020927130_1 or XP_020956160_1 or XP_020956159_1 or XP_013844774_2 or XP_020956158_1 or XP_020927124_1 or XP_013836883_2 or XP_020927125_1 or XP_020927123_1 or XP_020927133_1 or XP_020927126_1 or XP_013836881_2 or XP_020927129_1 or XP_020927128_1 or XP_020927134_1 or XP_020927127_1 or XP_020927131_1 or XP_020927135_1 or 57835_AT1
2OXOADOXm,((8050_AT1 and 1738_AT1) and NP_999562_1 and 4967_AT2) or (1743_AT1 and (8050_AT1 and 1738_AT1) and 4967_AT1)
34DHOXPEGOX,NP_001302599_1 or NP_001231762_1 or NP_001230868_1 or XP_020957392_1 or XP_020957390_1 or XP_020957389_1 or XP_020956211_1 or (124_AT1 and 126_AT1) or NP_001231762_1 or NP_001302599_1 or NP_001230868_1 or XP_020957392_1 or XP_020957390_1 or XP_020957389_1 or XP_020957391_1 or XP_020956211_1 or (125_AT1 and 124_AT1) or (125_AT1 and 126_AT1) or XP_020957392_1 or NP_001230868_1 or XP_020957390_1 or NP_001302599_1 or XP_020957389_1 or XP_020956211_1 or NP_001231762_1 or XP_003125651_1 or NP_001230868_1 or XP_020957390_1 or XP_020957389_1 or XP_020957391_1 or XP_020957392_1 or NP_001302599_1 or NP_001231762_1 or XP_020956211_1
34DHPHAMT,NP_001182259_1 or XP_005670994_1 or XP_005670993_1 or 1312_AT1
3AIBTm,NP_999428_1 or 18_AT1
3HCO3_NAt,XP_020956162_1 or XP_020956165_1 or XP_020956164_1 or XP_020956163_1 or XP_020956161_1 or NP_001025704_1 or NP_001302595_1 or XP_020931562_1 or XP_020947322_1 or XP_013843728_2 or XP_020947321_1 or XP_020947320_1 or XP_020947319_1 or XP_013843730_2 or XP_013843727_2 or XP_013843729_2 or XP_020927121_1 or XP_013836882_2 or XP_020940539_1 or XP_020927130_1 or XP_020956160_1 or XP_020956159_1 or XP_013844774_2 or XP_020956158_1 or XP_020927124_1 or XP_013836883_2 or XP_020927125_1 or XP_020927123_1 or XP_020927133_1 or XP_020927126_1 or XP_013836881_2 or XP_020927129_1 or XP_020927128_1 or XP_020927134_1 or XP_020927127_1 or XP_020927131_1 or XP_020927135_1 or 57835_AT1 or 57835_AT3 or 57835_AT4 or NP_001302595_1 or XP_020927125_1 or XP_020927126_1 or XP_013836883_2 or XP_020927121_1 or XP_020927131_1 or XP_020927130_1 or XP_020927127_1 or XP_020956160_1 or XP_020956159_1 or XP_020956158_1 or XP_013844774_2 or XP_020956162_1 or NP_001025704_1 or XP_020956165_1 or XP_020956164_1 or XP_020956163_1 or XP_020956161_1 or XP_020947322_1 or XP_013843728_2 or XP_020947320_1 or XP_013843730_2 or XP_013843727_2 or XP_020947321_1 or XP_013843729_2 or XP_020947319_1 or XP_020927129_1 or XP_020927128_1 or XP_020927124_1 or XP_020927123_1 or XP_020927135_1
3HKYNAKGAT,XP_005660557_1 or XP_020925479_1 or XP_005660561_1 or XP_013849369_1 or XP_013849374_1 or XP_013849373_1 or XP_003480666_1 or XP_003122257_1 or XP_013849371_1 or XP_013849370_1 or XP_020945990_1 or XP_020945988_1 or XP_020945987_1 or XP_020945986_1 or XP_020945985_1 or XP_020945984_1 or XP_020945983_1 or XP_013852880_1 or XP_013852879_1 or XP_013852878_1 or XP_020945982_1 or XP_020945981_1 or XP_005663770_1 or XP_003125974_1 or XP_001929419_2 or XP_013852876_1 or XP_020945980_1 or 51166_AT2 or XP_020928910_1
3HPCOAHYD,26275_AT1 or XP_020931923_1 or XP_020931922_1 or XP_020931924_1
3SALACBOXL,NP_999060_2 or XP_020930328_1 or NP_999059_1 or XP_005672001_1 or XP_020955507_1 or XP_020955501_1 or XP_020947360_1 or XP_020947363_1 or XP_020947361_1 or XP_020947366_1 or XP_020947365_1 or XP_020947359_1 or XP_020947362_1 or XP_020947364_1 or XP_013841140_1 or XP_020927153_1 or XP_020947363_1 or XP_020947366_1 or XP_020947365_1 or XP_020947360_1 or XP_020947364_1 or XP_013841140_1 or XP_020947362_1 or XP_020947361_1 or XP_020947359_1 or XP_005669383_3 or XP_020927153_1 or NP_999059_1 or XP_020930328_1 or XP_005672001_1 or XP_020955507_1 or XP_020955501_1 or NP_999060_2 or NP_999059_1 or XP_020930328_1 or XP_005672001_1 or XP_020955507_1 or XP_020955501_1 or NP_999060_2 or XP_020947366_1 or XP_020947365_1 or XP_020947363_1 or XP_020947360_1 or XP_020947364_1 or XP_013841140_1 or XP_020947362_1 or XP_020947361_1 or XP_020947359_1 or XP_020927153_1 or XP_005669383_3 or 2571_AT2
42A12BOOX,XP_020934345_1 or XP_020934344_1 or XP_020934343_1 or XP_020934342_1 or XP_003134601_1 or XP_003131441_2 or XP_020922632_1 or XP_020922633_1 or XP_020922634_1 or NP_001001640_1 or NP_001001864_1 or XP_013841525_2 or XP_020935191_1 or XP_005673626_1 or 314_AT2 or XP_003131441_2 or XP_020922632_1 or XP_020922633_1 or XP_020934345_1 or XP_020934344_1 or XP_020934343_1 or XP_020934342_1 or XP_020922634_1 or XP_003134601_1 or NP_001001864_1 or XP_013841525_2 or NP_001001640_1 or XP_020935191_1 or XP_005673626_1
4HGLSDm,NP_001239142_1 or 8659_AT2
