,fluxes
ACITL,0.0
ACONTm,0.013141253395234198
ACONT,0.0
CSm,0.013141253395234198
FUMm,0.013141253395234198
FUM,0.0
ICDHxm,0.013141253395234198
AKGDm,0.0
SUCOAS1m,0.0
ICDHym,0.0
MDHm,0.013141253395234198
MDH,0.0
CITL,0.0
ICDHyr,0.0
SUCD1m,0.0
SUCOASm,0.0
TPI,4.200870539680529
FBP,0.0
ACSm,0.0
ALDD2y,0.032879726697393474
PYK,8.422123730237105
ALDD2xm,0.0
ACS,0.0
PGMT,0.0
ALCD2y,0.0
PFK,4.221253190556576
DPGM,0.0
ACYP,0.0
GAPD,8.422123730237105
FBA,4.221253190556576
PGK,8.422123730237105
LDH_L,7.710446995974293
ETOHMO,0.0
ALDD2x,0.0
HEX1,4.2709174307251025
PGI,4.221253190556576
PDHm,0.556184960206893
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.0
ENO,8.422123730237105
DPGase,0.0
PGM,8.422123730237105
G6PDH2r,0.04796185172529152
PRPPS,0.04796185172529152
TKT1,0.0
RBK,0.0
DRBK,0.0
GND,0.04796185172529152
RPI,0.0
PGL,0.04796185172529152
TALA,0.0
TKT2,0.0
RPE,0.0
ATPM,5.9
ASPGLUm,0.0
AKGMALtm,0.0
ASPTAm,0.0
GLUDym,0.0
ALATA_L,0.0
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,0.2846631068010636
PIt2m,1.4364567874005523
Htm,0.0046700656082026
ATPtm,1.4233155340053179
PYRt2m,0.556184960206893
GLCt2,-0.1077629576036434
GLCt1,4.378680388328746
L_LACt2r,-7.710446995974293
PIt,0.0
O2t,0.2846631068010636
NH4t3r,0.01590951869548335
NH4tm,0.013141253395234198
2AOBUTtm,0.0
H2Ot,-1.915959916329796
PYRt2,-0.15549177405591907
OXP_nadh,0.5693262136021272
OXP_fadh2,0.0
ARGNm,0.0
UREAtm,0.0
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.0
GLU5SAtmc,0.0
G5SADs,0.0
P5CRx,0.0
P5CR,0.0
GHMT2r,0.00335086687623442
GLUPRT,0.0
PRAGSr,0.0
GARFT,0.0
PRFGS,0.0
PRAIS,0.0
AIRCr,0.0
PRASCSi,0.0
ADSL2r,0.0
AICART,0.0
IMPC,0.0
ADSS,0.013141253395234198
ADSL1r,0.013141253395234198
ADK1,0.19857188134169187
IMPD,0.011998146760587854
GMPS2,0.011998146760587854
GK1,0.011998146760587854
CBPS,0.022822451569469472
ASPCT,0.022822451569469472
DHORTS,0.022822451569469472
ORPT,0.022822451569469472
OMPDC,0.022822451569469472
UMPK,0.01711399013218766
UMPK2,0.005708461437281811
NDPK2,0.022822451569469472
NDPK1,0.022781805594774662
NDPK3,0.0
NDPK4,0.00335086687623442
NDPK5,0.0023575945610473915
NDPK6,0.0
NDPK7,0.0023575945610473915
NDPK8,0.00335086687623442
TRDR,0.011416922874563622
CTPS1,0.014826421182260229
CTPS2,0.0
RNDR1,0.00335086687623442
RNDR2,0.0023575945610473915
RNDR3,0.005708461437281811
RNDR4,0.0
DCMPDA,0.00335086687623442
TMDS,0.00335086687623442
DHFR,0.00335086687623442
DTMPK,0.00335086687623442
NADK,0.0
NNDPR,0.0
DNADDP,0.0
NADS2,0.0
HXPRT,0.02513940015582205
PPA,0.10792185021117007
CYTK2,-0.00335086687623442
NDPK1m,0.0
DHORD_NAD,0.022822451569469472
THRD,0.0
OBDHm,0.0
MMMm,0.0
AM6SAD,0.0
AMCOXO,0.0
3HAO,0.0
GCCam,0.0
PSP_L,0.0
MMEm,0.0
EHGLATm,0.0
42A12BOOX,0.0
TYRCBOX,0.0
ASPTA,0.0
ARGDCm,0.0
TRIODTHYSULT,0.0
GLUDC,0.0
PPOR,0.0
P5CRxm,0.0
ACSOMT,0.0
GLNS,0.019560828189550343
GCCbim,0.0
OIVD3m,0.0
ASNS1,0.0
IMACTD_m,0.0
EHGLAT2m,0.0
ALR,0.0
GCC2am,0.0
ALDD20xm,0.0
CYSTGL,0.0
HISDr,0.0
PHCDm,0.0
DOPASULT,0.0
P5CRm,0.0
2OXOADOXm,0.0
AATA,0.0
5HOXINDACTOX,0.0
LCYSTAT,0.0
LCYSTATm,0.0
THYPX,0.0
ILETA,0.0
METAT,0.0
GHMT2rm,0.0
34DHPLACOX_NADP,0.0
SAMHISTA,0.0
SULFOX,0.0
GLUTCOADHm,0.0
PHETA1m,0.0
PHYCBOXL,0.0
CHOLD2m,0.0
ALASm,0.0
GNMT,0.0
GLUNm,0.0
GLYATm,0.0
PHETHPTOX2,0.0
LFORKYNHYD,0.0
IDHPOXOX2b,0.0
34DHALDD,0.0
MGCHrm,0.0
VALTAim,0.0
3HXKYNDCL,0.0
URCN,0.0
CYSTAm,0.0
PRO1xm,0.0
3HXKYNOXDA,0.0
SFGTHi,0.0
2OXOADPTm,0.0
AHCi,0.0
3MOX4HOXPGALDOX_NADP,0.0
TYR3MO2,0.0
NOS1,0.0
PHETA1,0.0
THRS,0.0
TYROXDAc,0.0
KYN3OX,0.0
GTHOr,0.0
P5CDm,0.0
MCLORi,0.0
5HXKYNDCL,0.0
GCCcm,0.0
LEUTA,0.0
5HTRPDOX,0.0
MMCD,0.0
TMLYSOX,0.0
SACCD4m,0.0
BETALDHx,0.0
3SALATAim,0.0
34HPPOR,0.0
ACOAD10m,0.0
SERHL,0.0
CYSTA,0.0
GCC2cm,0.0
SALMCOM2,0.0
THRD_L,0.0
HISTASE,0.0
ALDD19x_P,0.0
DOPABMO,0.0
34DHOXPEGOX,0.0
HPROxm,0.0
ECOAH9m,0.0
ALDD20x,0.0
3MOX4HOXPGALDOX,0.0
ABTArm,0.0
4HOXPACDOX_NADP,0.0
PGCD,0.0
EHGLAT,0.0
34DHXMANDACOX,0.0
PROD2m,0.0
DOPAMT,0.0
ILETAm,0.0
ECOAH12m,0.0
PEAMNO,0.0
TRPO2,0.0
H2O2syn,0.0
NORANMT,0.0
NABTNOm,0.0
ECOAH1m,0.0
SSALxm,0.0
HACD9m,0.0
3HLYTCL,0.0
VALTA,0.0
CYSTS,0.0
ACOAD8m,0.0
5HOXINDACTOXm,0.0
ACACT1m,0.0
PCLAD,0.0
LTDCL,0.0
GHMT3m,0.0
PPCOACm,0.0
MAOX,0.0
GluForTx,0.0
PROD2,0.0
MHISOR,0.0
3SALATAi,0.0
KYN,0.0
ADMDC,0.0
ASNNm,0.0
HGNTOR,0.0
DMGDHm,0.0
41R2A1H12BOOX,0.0
PRO1x,0.0
METS,0.0
OIVD2m,0.0
TYRDOPO3,0.0
MACACI,0.0
HACD1m,0.0
2AMADPTm,0.0
BBHOX,0.0
NRPPHRSULT,0.0
MCCCrm,0.0
MAOLNOR,0.0
GDHm,0.013141253395234198
AACTOOR,0.0
IDHPOXOX3,0.0
TRYPTAOX,0.0
TMABADH,0.0
MMCDm,0.0
MMSAD1m,0.0
GTHOm,0.0
ACACT10m,0.0
3AIBTm,0.0
SALMCOM,0.0
FALDH,0.0
HKYNH,0.0
MELATN23DOX,0.0
MELATNOX,0.0
TYMSULT,0.0
SACCD3m,0.0
MCPST,0.0
GCC2bim,0.0
OIVD1m,0.0
ACSRTNMT,0.0
IDHPOXOX4,0.0
TRPHYDRO2,0.0
41R1H2MAE12BOOX,0.0
TYRTA,0.0
NOS2,0.0
AGTim,0.0
GHMT3,0.0
TYRTAim,0.0
IMACTD,0.0
CYANSTm,0.0
IDHPOXOXb,0.0
HIBDm,0.0
PSERT,0.0
OCOAT1m,0.0
BHMT,0.0
KYNAKGAT,0.0
MACOXO,0.0
FUMAC,0.0
34DHXMANDACOX_NADP,0.0
HISDC,0.0
5HOXINDACTO2OX,0.0
4HGLSDm,0.0
3MOXTYROX,0.0
ACOAD9m,0.0
LEUTAm,0.0
TYRDOPO,0.0
ALDD19xr,0.0
5HXKYNOXDA,0.0
R01465m,0.0
3HKYNAKGATm,0.0
ASPO1,0.0
THRA,0.032879726697393474
FKYNH,0.0
3HBCOAHLm,0.0
SERR,0.0
GLYCLm,0.0
KYNAKGATm,0.0
ACACT1r,0.0
AASAD3,0.0
TRPOX,0.0
