,fluxes
ACITL,0.0
ACONTm,0.2916428411480657
ACONT,0.0
CSm,0.2916428411480657
FUMm,0.30010749929056363
FUM,0.0006967632511036825
ICDHxm,0.2916428411480657
AKGDm,0.30010749929056363
SUCOAS1m,0.0
ICDHym,0.0
MDHm,0.303923531261709
MDH,0.003119268720041729
CITL,0.0
ICDHyr,0.0
SUCD1m,0.30010749929056363
SUCOASm,0.30010749929056363
TPI,0.09194426047026659
FBP,0.0
ACSm,0.0
ALDD2y,0.0006683973220348621
PYK,0.18811348111783097
ALDD2xm,0.0
ACS,0.0
PGMT,-0.0007669180275252807
ALCD2y,0.0
PFK,0.09704840588979807
DPGM,0.0
ACYP,0.0
GAPD,0.18811348111783097
FBA,0.09704840588979807
PGK,0.18811348111783097
LDH_L,0.0
ETOHMO,0.0
ALDD2x,0.0
HEX1,0.1
PGI,0.09880677637426548
PDHm,0.3909144366890163
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.0
ENO,0.18811348111783097
DPGase,0.0
PGM,0.18811348111783097
G6PDH2r,0.0
PRPPS,0.002637555726701102
TKT1,0.0
RBK,0.0
DRBK,0.0
GND,0.0
RPI,0.0
PGL,0.0
TALA,0.0
TKT2,0.0
RPE,0.0
ATPM,2.2771
ASPGLUm,0.0122806901136433
AKGMALtm,0.20592022429122708
ASPTAm,0.0122806901136433
GLUDym,0.0
ALATA_L,0.20280095557118535
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,0.8944
PIt2m,4.269895807679918
Htm,0.0038999595498667716
ATPtm,4.47199999999999
PYRt2m,0.3909144366890163
GLCt2,-0.2587331579038974
GLCt1,0.35873315790389737
L_LACt2r,0.0
PIt,0.0
O2t,0.8944
NH4t3r,0.2172625452718734
NH4tm,-0.21711538202825978
2AOBUTtm,0.0
H2Ot,-0.9729619861401622
PYRt2,0.0
OXP_nadh,1.4886925007094365
OXP_fadh2,0.30010749929056346
ARGNm,0.0
UREAtm,0.0
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.0
GLU5SAtmc,0.0
G5SADs,0.0
P5CRx,0.0
P5CR,0.0
GHMT2r,0.0001471632436136068
GLUPRT,0.0
PRAGSr,0.0
GARFT,0.0
PRFGS,0.0
PRAIS,0.0
AIRCr,0.0
PRASCSi,0.0
ADSL2r,0.0
AICART,0.0
IMPC,0.0
ADSS,0.0006967632511036825
ADSL1r,0.0006967632511036825
ADK1,0.03539176137182787
IMPD,0.0006375675925787569
GMPS2,0.0006375675925787569
GK1,0.0006375675925787569
CBPS,0.0013032248830186412
ASPCT,0.0013032248830186412
DHORTS,0.0013032248830186412
ORPT,0.0013032248830186412
OMPDC,0.0013032248830186412
UMPK,0.001042555191484717
UMPK2,0.00026066969153392414
NDPK2,0.0013032248830186412
NDPK1,0.0012207303251747092
NDPK3,0.0
NDPK4,0.0001471632436136068
NDPK5,0.00011360051850773026
NDPK6,0.0
