,fluxes
ACITL,0.0
ACONTm,0.289371413409264
ACONT,0.0
CSm,0.289371413409264
FUMm,0.28788912225386976
FUM,0.001482291155394222
ICDHxm,0.289371413409264
AKGDm,0.28788912225386976
SUCOAS1m,0.0
ICDHym,0.0
MDHm,0.289371413409264
MDH,0.0
CITL,0.0
ICDHyr,0.0
SUCD1m,0.28788912225386976
SUCOASm,0.28788912225386976
TPI,1.4328622542360685
FBP,0.0
ACSm,0.0
ALDD2y,0.0014219455994135127
PYK,2.8747126706531505
ALDD2xm,0.0
ACS,0.0
PGMT,-0.0016315381262009083
ALCD2y,0.0
PFK,1.4437207913348913
DPGM,0.0
ACYP,0.0
GAPD,2.8747126706531505
FBA,1.4437207913348913
PGK,2.8747126706531505
LDH_L,2.3741512901798805
ETOHMO,0.0
ALDD2x,0.0
HEX1,1.45
PGI,1.4474615411705094
PDHm,0.5005613804732703
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.0
ENO,2.8747126706531505
DPGase,0.0
PGM,2.8747126706531505
G6PDH2r,0.0
PRPPS,0.005611124753423865
TKT1,0.0
RBK,0.0
DRBK,0.0
GND,0.0
RPI,0.0
PGL,0.0
TALA,0.0
TKT2,0.0
RPE,0.0
ATPM,2.2771
ASPGLUm,0.0
AKGMALtm,0.0
ASPTAm,0.0
GLUDym,0.0
ALATA_L,0.0
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,0.8944
PIt2m,4.473482291155394
Htm,0.10949338965148936
ATPtm,4.4719999999999995
PYRt2m,0.5005613804732703
GLCt2,-0.13308710452489378
GLCt1,1.5830871045248938
L_LACt2r,-2.3741512901798805
PIt,0.0
O2t,0.8944
NH4t3r,0.12367383262527298
NH4tm,-0.10552319439721242
2AOBUTtm,0.0
H2Ot,-1.3957098155682148
PYRt2,0.0
OXP_nadh,1.5009108777461302
OXP_fadh2,0.28788912225386976
ARGNm,0.10700548555260664
UREAtm,-0.10700548555260664
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.10700548555260664
GLU5SAtmc,0.10700548555260664
G5SADs,0.10700548555260664
P5CRx,0.10700548555260664
P5CR,0.0
GHMT2r,0.0003130744540009879
GLUPRT,0.0
PRAGSr,0.0
GARFT,0.0
PRFGS,0.0
PRAIS,0.0
AIRCr,0.0
PRASCSi,0.0
ADSL2r,0.0
AICART,0.0
IMPC,0.0
ADSS,0.001482291155394222
ADSL1r,0.001482291155394222
ADK1,0.0752922815204546
IMPD,0.0013563585650463532
GMPS2,0.0013563585650463532
GK1,0.0013563585650463532
CBPS,0.0027724750329832897
ASPCT,0.0027724750329832897
DHORTS,0.0027724750329832897
ORPT,0.0027724750329832897
OMPDC,0.0027724750329832897
UMPK,0.0022179274479500145
UMPK2,0.0005545475850332753
NDPK2,0.0027724750329832897
NDPK1,0.0025969764640436334
NDPK3,0.0
NDPK4,0.0003130744540009879
NDPK5,0.00024167325639694158
NDPK6,0.0
NDPK7,0.0002414731310322874
NDPK8,0.00031265030398230795
TRDR,0.001108871145412525
CTPS1,0.0016524048502112982
CTPS2,0.0
RNDR1,0.00031265030398230795
RNDR2,0.00024167325639694158
RNDR3,0.0005545475850332753
RNDR4,0.0
DCMPDA,0.0003130744540009879
TMDS,0.0003130744540009879
DHFR,0.0003130744540009879
DTMPK,0.0003130744540009879
NADK,0.0
NNDPR,0.0
DNADDP,0.0
NADS2,0.0
HXPRT,0.0028386497204405756
PPA,0.012578608031248401
CYTK2,-0.0003130744540009879
NDPK1m,0.0
DHORD_NAD,0.0027724750329832897
THRD,0.0
OBDHm,0.0
MMMm,0.0
AM6SAD,0.0
AMCOXO,0.0
3HAO,0.0
GCCam,0.0
PSP_L,0.0
MMEm,0.0
EHGLATm,0.0
42A12BOOX,0.0
TYRCBOX,0.0
ASPTA,0.0
ARGDCm,0.0
TRIODTHYSULT,0.0
GLUDC,0.0
PPOR,0.0
P5CRxm,0.0
ACSOMT,0.0
GLNS,0.0
GCCbim,0.0
OIVD3m,0.0
ASNS1,0.0
IMACTD_m,0.0
EHGLAT2m,0.0
ALR,0.0
GCC2am,0.0
ALDD20xm,0.0
CYSTGL,0.0
HISDr,0.0
PHCDm,0.0
DOPASULT,0.0
P5CRm,0.0
2OXOADOXm,0.0
AATA,0.0
5HOXINDACTOX,0.0
LCYSTAT,0.0
LCYSTATm,0.0
THYPX,0.0
ILETA,0.0
METAT,0.0
