,fluxes
ACITL,0.0
ACONTm,0.0
ACONT,0.0
CSm,0.0
FUMm,0.040708153619768456
FUM,0.0021708273361991104
ICDHxm,0.0
AKGDm,0.040708153619768456
SUCOAS1m,0.03853732628357278
ICDHym,0.0
MDHm,2.5129486850616525
MDH,2.470069704105685
CITL,0.0
ICDHyr,0.0
SUCD1m,0.040708153619768456
SUCOASm,0.0
TPI,0.9672781321073876
FBP,0.0
ACSm,0.0
ALDD2y,0.0
PYK,2.4053430013093258
ALDD2xm,0.0
ACS,0.0
PGMT,-0.0023894007270567094
ALCD2y,0.0
PFK,0.9831805471487782
DPGM,0.0
ACYP,0.0
GAPD,2.4053430013093258
FBA,0.9831805471487782
PGK,2.4053430013093258
LDH_L,2.1025660755215787
ETOHMO,0.0
ALDD2x,0.0
HEX1,1.45
PGI,0.07341190304245893
PDHm,0.30277692578774684
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.0
ENO,2.4053430013093258
DPGase,0.0
PGM,2.4053430013093258
G6PDH2r,1.3728705035557125
PRPPS,0.008217537396233198
TKT1,0.45488432205315976
RBK,0.0
DRBK,0.0
GND,1.3728705035557125
RPI,0.0
PGL,1.3728705035557125
TALA,0.45488432205315976
TKT2,0.45488432205315976
RPE,0.9097686441063195
ATPM,2.2771
ASPGLUm,2.5129486850616525
AKGMALtm,2.470069704105685
ASPTAm,2.5129486850616525
GLUDym,0.0
ALATA_L,0.0
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,1.4662859199898972
PIt2m,7.327087945277098
Htm,-2.4292773499771982
ATPtm,7.324917117940899
PYRt2m,0.30277692578774684
GLCt2,-0.1742617074095136
GLCt1,1.6242617074095136
L_LACt2r,-2.1025660755215787
PIt,0.0
O2t,1.4662859199898972
NH4t3r,0.07831545221615241
NH4tm,-0.07785695215660754
2AOBUTtm,0.0
H2Ot,-2.315799111125263
PYRt2,0.0
OXP_nadh,2.8896928590238304
OXP_fadh2,0.04287898095596413
ARGNm,0.0
UREAtm,0.0
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.0
