,fluxes
ACITL,0.0
ACONTm,0.0
ACONT,0.0
CSm,0.0
FUMm,224.48988867239467
FUM,-217.7952069040799
ICDHxm,0.0
AKGDm,57.987422649045925
SUCOAS1m,0.0
ICDHym,-16.750252068658796
MDHm,-24.889623117440806
MDH,31.584304885755557
CITL,0.0
ICDHyr,16.750252068658796
SUCD1m,0.0
SUCOASm,-57.987422649045925
TPI,494.8081298980465
FBP,0.0
ACSm,0.0
ALDD2y,0.0
PYK,1000.0
ALDD2xm,0.0
ACS,0.0
PGMT,0.0
ALCD2y,0.0
PFK,505.1918701019535
DPGM,0.0
ACYP,0.0
GAPD,1000.0
FBA,505.1918701019535
PGK,1000.0
LDH_L,669.0276206404108
ETOHMO,0.0
ALDD2x,0.0
HEX1,530.4928268062868
PGI,505.1918701019535
PDHm,276.64825371305255
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.0
ENO,1000.0
DPGase,0.0
PGM,1000.0
G6PDH2r,24.433691723532093
PRPPS,24.433691723532093
TKT1,0.0
RBK,0.0
DRBK,0.0
GND,24.433691723532093
RPI,-24.433691723532093
PGL,24.433691723532093
TALA,0.0
TKT2,0.0
RPE,0.0
ATPM,0.0
ASPGLUm,-14.37113326288232
AKGMALtm,-82.87704576648673
AKGCITtm,0.0
AKGICITtm,16.750252068658796
ASPTAm,24.889623117440806
GLUDym,16.750252068658796
ALATA_L,-51.29274088073117
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,188.40251547019082
PIt2m,1000.0
Htm,0.0
ATPtm,1000.0
PYRt2m,276.64825371305255
GLCt2,-166.74473878592994
GLCt1,697.2375655922167
L_LACt2r,-669.0276206404108
PIt,0.0
O2t,188.40251547019082
NH4t3r,15.104701941396941
NH4tm,0.0
2AOBUTtm,0.0
H2Ot,-926.9643091919304
PYRt2,-3.0313847658055693
OXP_nadh,376.80503094038164
OXP_fadh2,0.0
ARGNm,0.0
UREAtm,0.0
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.0
GLU5SAtmc,0.0
G5SADs,0.0
P5CRx,0.0
P5CR,0.0
