,fluxes
BIOMASS_psc,54.49505608703883
ATPasel,0.0
ACOAD1fm,0.0
MAN1PT2,0.0
ALR3,0.0
SR5AR2r,0.0
FATP3t,0.0
APRTO2,0.0
3HAO,0.0
G14T10g,0.0
UDPGD,0.0
GLCAASE5ly,0.0
FUT15g,0.0
GLYOXm,0.0
THD1m,1000.0
DNDPt54m,0.0
CSNt,0.0
CYTDtl,0.0
ASNALANaEx,0.0
FUT18g,0.0
PAFHe,0.0
DHCRD2,1.164566977887872
TYRASE,0.0
DGAT,0.590550497942452
FPGS5m,0.0
RTOTAL3CRNCPT1,0.0
GAO2g,0.0
G14T11g,0.0
GCCam,0.0
S6T19g,0.0
PSP_L,0.0
CYTK10n,0.0
SIAASE3ly,0.0
CITtam,-122.86799939101974
PSSA1,3.614173426630513
SIAT9g,0.0
ARGNm,0.0
AHANDROSTANGLCte,0.0
FAOXC16080m,0.0
DLNLCGCPT1,0.0
13DAMPPOX,0.0
FAEL183,0.0
NACHEX22ly,0.0
SCPx,0.0
CYStec,4.527644406507034
ACITL,147.341252138978
COKECBESr,0.0
MMEm,0.0
SERDGLNexR,0.0
EHGLATm,0.0
B3GNT35g,0.0
GLYK,0.0
42A12BOOX,0.0
PTE2x,0.0
LNELDCCPT2,0.0
H2Ot,0.0
ST8SIA52g,0.0
ACGAM2E,0.0
HCO3_CLt,0.0
LYSt4,0.0
ME1m,0.0
UREAtm,0.0
ACACT6p,0.0
NDPK2m,0.0
FAOXC2242046x,0.0
S6TASE4ly,0.0
NTPP9,0.0
UDPXYLtg,0.0
TYRCBOX,0.0
S6T5g,0.0
NDPK5n,0.0
GALASE20ly,0.0
PYDXNK,0.0
PNTK,0.0
LALDO,0.0
ASPTA,0.0
XANDp,0.0
G14T5g,0.0
DOLPMT3_Uer,0.0
SIAASEly,0.0
RAI3,0.0
SMS,1.164566977887872
ARGDCm,0.0
FACOAL40im,0.0
PI4P5K,0.0
PROt2r,0.0
34DHPHEt,0.0
NDPK2n,0.0
FRUt4,0.0
PIACGT,0.0
FCLTm,0.0
SGPL11r,0.0
ADPT,0.0
HSD17B9r,0.0
COAtim,46.30561951633645
FATP2t,0.0
AKGMALtm,0.0
PMI1346PHn,0.0
DNDPt32m,0.0
ACCOAtr,0.0
MM5bg,0.0
DNDPt39m,0.0
TRIODTHYSULT,0.0
GLXO2p,0.0
GALTg,0.0
TYRt4,0.0
ACONTm,-147.341252138978
24_25VITD3Hm,0.0
25VITD3Hm,0.0
PI5P3Ker,0.0
PTDCACRNCPT1,0.0
GLCAASE6ly,0.0
ACONT,0.0
NACHEXA17ly,0.0
URIt4,0.0
DNDPt34m,0.0
T4HCINNOX,0.0
P4508B13r,0.0
HSD3B2r,0.0
P4502C18,0.0
GALASE19ly,0.0
SUCRe,0.0
GLUDC,0.0
GUACYC,0.0
S4T1g,0.0
P4502F1,0.0
XAO2x,0.0
FAOXC18480x,0.0
HOMt4,0.0
AGMTm,0.0
BTNDm,0.0
NRPPHRt4_2_r,0.0
FAOXC183803m,0.0
DNDPt10m,0.0
UDPGALtg,0.0
PPOR,0.0
DOLDPP_Ler,0.0
LNLNCGCPT2,0.0
GSNt,0.0
AG13T2g,0.0
P5CRxm,854.0472789205261
FAS180COA,0.0
METLEUex,0.0
ACSOMT,0.0
M14NTg,0.0
CYTD,0.0
DNDPt45m,0.0
SRTN23OX,0.0
NAGA2ly,0.0
SCP22x,0.0
5HTRPVESSEC,0.0
IDOAASE3ly,0.0
GLNS,0.0
FUT35g,0.0
MOGAT,0.0
CPCTDTX,0.0
CYTK3n,0.0
ESTRONESt,0.0
UGT1A9r,0.0
GCCbim,0.0
G14T4g,0.0
FPGS7,0.0
FPGS8m,0.0
GLCtg,0.0
NACHEXA19ly,0.0
OIVD3m,0.0
C181CPT2,0.0
CYTDt4,0.0
INSt5,0.0
G6PDH2r,0.0
ASNS1,0.0
TTDCRNt,0.0
DNDPt5m,0.0
GLCNACDASg,0.0
IMACTD_m,0.0
PLA2_2e,0.0
PUNP2,0.0
SPR,0.0
NACHEXA7ly,0.0
PI345P3P,0.0
ADRNLPVESSEC,0.0
PMI12346PH,0.0
GALt2_2,0.0
EHGLAT2m,0.0
B3GNT314g,0.0
FDH,0.0
DALAOXx,0.0
FACOAL180,0.0
ALR,0.0
GCC2am,0.0
GSNtm,0.0
THMDt4,0.0
P4502C19,0.0
HSD3A2r,0.0
AMPDA,0.0
DHAPAx,0.0
UPPDC1,0.0
DOLPGT1_Ler,0.0
UAGDP,0.0
DOPAt4_2_r,0.0
S6TASE1ly,0.0
PRPNCOAHYDm,0.0
URAt,0.0
HSD11B2r,0.0
GLXO1,0.0
SIAASE2ly,0.0
GPAMm,0.0
DNDPt17m,0.0
CDS,1.793700956450957
ALDD20xm,0.0
ACGAMK,0.0
P45021A1r,0.0
CYSTGL,0.0
DHORD9,13.279464965837523
FPGS3m,0.0
FACOAL244_1,0.0
PSFLIP,0.0
GALASE1ly,0.0
RETH,0.0
SPHK21c,0.0
AG13T7g,0.0
PHEMEt,0.0
FUT33g,0.0
NTD9,0.0
NACHEXA4ly,0.0
HISDr,94.75667850681356
DNDPt9m,0.0
S26Tg,0.0
ASNtN1,16.992394762748933
GALASE6ly,0.0
BAMPPALDOX,0.0
FAOXC140,0.0
NDPK9n,0.0
UGLCNACtg,0.0
FAOXC200180m,0.0
ST6GALNAC25,0.0
B3GNT315g,0.0
PHCDm,0.0
NP1,0.0
CHOLK,11.873229035195743
GGH_10FTHF5GLUe,0.0
PROSTGF2t,0.0
UGT1A5r2,0.0
ST6GALNAC27,0.0
S6TASE26ly,0.0
DOPASULT,0.0
FPGS,0.0
NTD12,0.0
NDPK8,1.9497344162476757
RNDR1,1.9497344162476757
CBR2,0.0
PTPATi,0.0
DCMPDA,-1.371789278718829
P5CRm,0.0
H6_ET2er,0.0
GCNTg,0.0
BPNT2,0.0
2OXOADOXm,0.0
FACOAL206,0.0
CYTK1,13.666929991646702
LPSe,0.0
SPODMn,0.0
G14T14g,0.0
P45046A1r,0.0
ABO8g,0.0
SLDxm,0.0
CRNtHa,0.0
CLPNDCPT1,0.0
AATA,0.0
HXANtl,0.0
CHOLATEt,0.0
CORE6GTg,0.0
PIK5,0.0
LYSt5r,21.12459907078422
MM6ag,0.0
DGNSKm,0.0
ASP1DC,127.62700152014014
PYLALDOX,0.0
5HOXINDACTOX,0.0
H2Otm,374.99929402241827
GSNt5,0.0
AG13T8g,0.0
ALKP,0.0
NACHEXA1ly,0.0
INSt4,0.0
CYSGLUexR,0.0
LCADm,0.0
ADKd,0.0
S6TASE24ly,0.0
S4TASE4ly,0.0
FAOXC2051843x,0.0
SLDx,0.0
P4502C92,0.0
HCO3_NAt,0.0
IMPD,6.981238149513452
DCT,0.0
PRPPS,27.907068955497504
DOLPGT2_Ler,0.0
NAt3_1g,0.0
PROSTGE1t3,0.0
CITt4_4,0.0
NTD8l,0.0
AIRCr,0.0
CYTK8n,0.0
GCHOLAt3,0.0
CYSGLNNaEx,0.0
FATP1t,0.0
TPI,116.38651803396401
STS3r,0.0
ARACHCPT1,0.0
CATm,482.0334483590194
DNDPt56m,0.0
DESAT18_7,0.0
PTE5x,0.0
PROt4_2_r,2.417812923349942
ACCOAC,225.96987952868506
HPYRRy,0.0
LNLNCACPT1,0.0
PRAGSr,0.0
GALASE5ly,0.0
GLYOX,0.0
UDPGLCAter,0.0
NDPK6,0.0
