,fluxes
ACITL,0.0
ACONTm,0.33075447697201865
ACONT,0.0
CSm,0.33075447697201865
FUMm,0.4757808453616743
FUM,0.0016719022673824472
ICDHxm,0.33075447697201865
AKGDm,0.4757808453616743
SUCOAS1m,0.0
ICDHym,0.0
MDHm,0.5001252061948513
MDH,0.022672458565794765
CITL,0.0
ICDHyr,0.0
SUCD1m,0.4757808453616743
SUCOASm,0.4757808453616743
TPI,0.5249000969710355
FBP,0.0
ACSm,0.0
ALDD2y,0.0
PYK,1.1846532923870319
ALDD2xm,0.0
ACS,0.0
PGMT,-0.001840240550981951
ALCD2y,0.0
PFK,0.5371476319643643
DPGM,0.0
ACYP,0.0
GAPD,1.0599381001660846
FBA,0.5371476319643643
PGK,1.0599381001660846
LDH_L,0.5933670251472323
ETOHMO,0.0
ALDD2x,0.0
HEX1,0.5442300618678189
PGI,0.5413668895030331
PDHm,0.5689593556141679
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.12471519222094726
ENO,1.0599381001660846
DPGase,0.0
PGM,1.0599381001660846
G6PDH2r,0.0
PRPPS,0.006328886307984164
TKT1,0.0
RBK,0.0
DRBK,0.0
GND,0.0
RPI,0.0
PGL,0.0
TALA,0.0
TKT2,0.0
RPE,0.0
ATPM,2.2771
ASPGLUm,0.16937072922283275
AKGMALtm,0.12506073916111038
ASPTAm,0.16937072922283275
GLUDym,0.0
ALATA_L,0.02232691162563167
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,1.3870534409139061
PIt2m,6.834550826241597
Htm,-0.16656457842795014
ATPtm,6.935267204569531
PYRt2m,0.5689593556141679
GLCt2,-0.27287880774828355
GLCt1,0.8171088696161024
L_LACt2r,-0.5933670251472323
PIt,0.0
O2t,1.3870534409139061
NH4t3r,0.1024133989221381
NH4tm,-0.10071637832793331
2AOBUTtm,0.0
H2Ot,-1.769522686145005
PYRt2,0.0
OXP_nadh,2.298326036466138
OXP_fadh2,0.4757808453616743
ARGNm,0.0
UREAtm,0.0
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.0
GLU5SAtmc,0.0
G5SADs,0.0
P5CRx,0.0
P5CR,0.0
GHMT2r,0.000353122183586782
GLUPRT,0.0
PRAGSr,0.0
GARFT,0.0
PRFGS,0.0
PRAIS,0.0
AIRCr,0.0
PRASCSi,0.0
ADSL2r,0.0
AICART,0.0
IMPC,0.0
ADSS,0.0016719022673824472
ADSL1r,0.0016719022673824472
ADK1,0.08492348870358145
IMPD,0.001529860683600493
GMPS2,0.001529860683600493
GK1,0.001529860683600493
CBPS,0.003127123357001224
ASPCT,0.003127123357001224
DHORTS,0.003127123357001224
ORPT,0.003127123357001224
OMPDC,0.003127123357001224
UMPK,0.002501639381457474
UMPK2,0.0006254839755437501
NDPK2,0.003127123357001224
NDPK1,0.12764436765505427
NDPK3,0.0
NDPK4,0.000353122183586782
NDPK5,0.000272587516875928
NDPK6,0.0
NDPK7,0.0002723617919569681
NDPK8,0.0003526437773199961
TRDR,0.001250715269739674
CTPS1,0.0018637764960349073
CTPS2,0.0
RNDR1,0.0003526437773199961
RNDR2,0.000272587516875928
RNDR3,0.0006254839755437501
RNDR4,0.0
DCMPDA,0.000353122183586782
TMDS,0.000353122183586782
DHFR,0.000353122183586782
DTMPK,0.000353122183586782
NADK,0.0
NNDPR,0.0
DNADDP,0.0
NADS2,0.0
HXPRT,0.00320176295098294
PPA,0.014187633253725145
CYTK2,-0.000353122183586782
NDPK1m,0.0
DHORD_NAD,0.003127123357001224
THRD,0.0
OBDHm,0.0
MMMm,0.0
AM6SAD,0.0
AMCOXO,0.0
3HAO,0.0
GCCam,0.0
PSP_L,0.0
MMEm,0.0
EHGLATm,0.0
42A12BOOX,0.0
TYRCBOX,0.0
ASPTA,0.14738765078674204
ARGDCm,0.0
TRIODTHYSULT,0.0
GLUDC,0.0
PPOR,0.0
P5CRxm,0.0
ACSOMT,0.0
GLNS,0.0
GCCbim,0.0
OIVD3m,0.0
ASNS1,0.0
IMACTD_m,0.0
EHGLAT2m,0.0
ALR,0.0
GCC2am,0.0
ALDD20xm,0.0
CYSTGL,0.0
HISDr,0.0016038374533264561
PHCDm,0.0
DOPASULT,0.0
P5CRm,0.0
2OXOADOXm,0.0
AATA,0.0
5HOXINDACTOX,0.0
LCYSTAT,0.0
LCYSTATm,0.0
THYPX,0.0
ILETA,0.0
METAT,0.0
GHMT2rm,0.0
34DHPLACOX_NADP,0.0
SAMHISTA,0.0
SULFOX,0.0
GLUTCOADHm,0.0
PHETA1m,0.0
PHYCBOXL,0.0
CHOLD2m,0.0
ALASm,0.0
GNMT,0.0
GLUNm,0.0
GLYATm,0.0
PHETHPTOX2,0.0
LFORKYNHYD,0.0
IDHPOXOX2b,0.0
34DHALDD,0.0
MGCHrm,0.0
VALTAim,0.0
3HXKYNDCL,0.0
URCN,0.0016038374533264561
CYSTAm,0.0
PRO1xm,0.16099488699774625
3HXKYNOXDA,0.0
SFGTHi,0.0
2OXOADPTm,0.0
AHCi,0.0
3MOX4HOXPGALDOX_NADP,0.0
TYR3MO2,0.0
NOS1,0.0
PHETA1,0.0
THRS,0.0
TYROXDAc,0.0
KYN3OX,0.0
GTHOr,0.0
P5CDm,0.16099488699774625
MCLORi,0.0
5HXKYNDCL,0.0
GCCcm,0.0
LEUTA,0.0
5HTRPDOX,0.0
MMCD,0.0
TMLYSOX,0.0
SACCD4m,0.0
BETALDHx,0.0
3SALATAim,0.0
34HPPOR,0.0
ACOAD10m,0.0
SERHL,0.0
CYSTA,0.0
GCC2cm,0.0
SALMCOM2,0.0
THRD_L,0.0
HISTASE,0.0
ALDD19x_P,0.0
DOPABMO,0.0
34DHOXPEGOX,0.0
HPROxm,0.0
ECOAH9m,0.0
ALDD20x,0.0
3MOX4HOXPGALDOX,0.0
ABTArm,0.0
4HOXPACDOX_NADP,0.0
PGCD,0.0
