query,subject,percent_identity
Tcirg1,TCIRG1,85.287
Tcirg1,ATP6V0A2,52.052
LOC100760824,ATP5F1C,92.0
Ndufs8,NDUFS8,95.833
LOC100755596,ALDH3B1,82.942
LOC100755596,LOC508879,77.833
LOC100755596,ALDH3A2,54.464
LOC100755596,ALDH3A1,52.584
LOC100756470,ALDH3B1,75.851
LOC100756470,LOC508879,75.542
LOC100756470,ALDH3A2,50.313
Aldh3b2,ALDH3B1,76.98
Aldh3b2,LOC508879,79.251
Pfkfb3,PFKFB1,72.897
Aldh3b2,ALDH3A2,56.962
Aldh3b2,ALDH3A1,54.047
Ndufv1,NDUFV1,97.183
Carns1,CARNS1,82.971
B3galt6,B3GALT6,80.665
B3gntl1,B3GNTL1,83.478
Fut9,FUT9,96.389
Pfkfb3,PFKFB2,76.386
Dguok,DGUOK,75.926
Dguok,DCK,50.276
Mthfd2,MTHFD2,89.174
Mthfd2,MTHFD2L,70.703
Pfkfb3,PFKFB3,97.228
Slc4a5,SLC4A5,91.667
Slc4a5,SLC4A4,66.01
Slc4a5,SLC4A10,50.294
Slc4a5,SLC4A8,50.616
Slc4a5,SLC4A7,53.543
Dck,DCK,95.785
Pfkfb3,PFKFB4,77.132
Slc4a4,SLC4A4,97.619
Slc4a4,SLC4A10,54.054
Mpc1,MPC1,95.294
Mpc1,MPC1L,71.429
Impa1,IMPA1,85.526
Impa1,IMPA2,55.274
Slc5a7,SLC5A7,89.673
Xdh,XDH,86.057
Xdh,AOX2,51.857
LOC100770100,LOC782922,71.914
Xdh,AOX1,50.149
LOC100770100,AKR1C4,72.531
LOC100770100,LOC132342107,70.988
LOC100770100,20ALPHA-HSD,71.296
Srd5a2,SRD5A2,84.337
LOC100770100,LOC782884,71.562
LOC100770100,LOC527068,70.988
LOC100770100,LOC782061,70.988
LOC100770100,LOC785762,70.37
Srd5a2,SRD5A1,50.289
LOC100770100,LOC112449293,72.131
LOC100770100,LOC132342088,76.056
Aldoa,ALDOA,96.438
LOC100770100,LOC132342089,71.803
LOC100770100,AKR1C3,73.22
LOC100770100,LOC538060,74.296
Aldoa,ALDOC,83.288
LOC100770100,LOC506594,71.479
Aldoa,ALDOB,70.959
LOC100770100,AKR1D1,58.805
Cdipt,CDIPT,95.794
Qprt,QPRT,85.333
LOC100770100,LOC112441538,74.176
LOC100770100,LOC112449294,73.62
LOC100770100,LOC514083,74.815
B4galt6,B4GALT6,97.044
B4galt6,B4GALT5,66.0
LOC100770100,LOC112441521,62.791
Ldhd,LDHD,83.918
LOC100774512,AK4,81.095
LOC100774512,AK3,54.487
Slc6a14,SLC6A14,86.172
Slc6a14,SLC6A5,52.295
Gldc,GLDC,93.931
Acox2,ACOX2,73.568
Kmt5a,KMT5A,91.554
Pdxp,PDXP,96.0
Gcat,GCAT,87.143
Slc16a8,SLC16A8,80.153
Slc16a8,SLC16A3,67.717
Slc16a8,SLC16A5,51.754
Maob,MAOB,88.0
Maob,MAOA,70.854
Pten,PTEN,99.505
Papss2,PAPSS2,90.328
Papss2,PAPSS1,78.939
Tyrp1,TYRP1,85.502
Pfkp,PFKM,70.806
Tyrp1,DCT,51.923
Pfkp,PFKL,67.277
Pfkp,PFKP,83.902
Slc4a9,SLC4A9,86.626
Slc4a9,SLC4A10,50.068
Slc4a9,SLC4A4,56.466
Slc4a9,SLC4A5,50.947
Idi1,IDI1,83.478
Idi2,IDI1,60.526
Slc4a9,SLC4A8,50.321
Ndufa2,NDUFA2,84.0
Bpnt1,BPNT1,93.851
Cpt1a,CPT1B,66.085
Cpt1a,CPT1C,56.18
Hmgcll1,HMGCL,72.414
